BCD_cruise,Biolsum_date,cruise_found_with
BCD1999666,10-Feb-1999,PAR1998078
BCD1999666,16-Feb-1999,PAR1998078
BCD1999666,31-Mar-1999,CYGNUS1998079
BCD1999666,8-Apr-1999,HUD99003
BCD1999666,18-Apr-1999,HUD99003
BCD1999666,5-Jul-1999,NED99025
BCD1999666,30-Jun-1999,HUD99022
BCD1999666,17-Jul-1999,99025
BCD1999666,31-Jul-1999,99029
BCD1999666,23-Oct-1999,HUD99054
BCD1999666,5-Nov-1999,HUD99054
BCD1999666,12-Nov-1999,HUD99054
BCD2000666,15-Feb-2000,NED99065
BCD2000666,1-Mar-2000,NED99066
BCD2000666,16-Mar-2000,NED99066
BCD2000666,7-Apr-2000,PAR2000002
BCD2000666,12-Apr-2000,PAR2000002
BCD2000666,23-Apr-2000,PAR2000002
BCD2000666,2-May-2000,PAR2000001
BCD2000666,20-May-2000,HUD2000009
BCD2000666,7-Jun-2000,HUD2000009
BCD2000666,14-Jun-2000,PAR2000075
BCD2000666,29-Jun-2000,NED2000026
BCD2000666,15-Jul-2000,NED2000026
BCD2000666,30-Jul-2000,NED2000031
BCD2000666,30-Sep-2000,HUD2000050
BCD2000666,7-Oct-2000,HUD2000050
BCD2000666,17-Oct-2000,HUD2000050
BCD2000666,22-Nov-2000,HUD2000066
BCD2000666,8-Dec-2000,IML-2000-062
BCD2001666,13-Feb-2001,NED2001003
BCD2001666,27-Feb-2001,NED2001004
BCD2001666,14-Mar-2001,NED2001004
BCD2001666,1-May-2001,HUD2001009
BCD2001666,6-May-2001,HUD2001009
BCD2001666,16-May-2001,HUD2001009
BCD2001666,25-May-2001,HUD2001009
BCD2001666,30-May-2001,HUD2001022
BCD2001666,15-Jun-2001,HUD2001022
BCD2001666,3-Jul-2001,NED2001032
BCD2001666,16-Jul-2001,NED2001037
BCD2001666,30-Jul-2001,NED2001037
BCD2001666,24-Oct-2001,HUD2001061
BCD2001666,29-Oct-2001,HUD2001061
BCD2001666,8-Dec-2001,IML-2001-64
BCD2001666,7-Nov-2001,HUD2001061
BCD2002666,1-Mar-2002,NED2002002
BCD2002666,19-Mar-2002,NED2002003
BCD2002666,4-May-2002,SWA2002916
BCD2002666,23-Jun-2002,HUD2002032_LSEA
BCD2002666,18-Oct-2002,HUD2002064
BCD2002666,22-Oct-2002,HUD2002064
BCD2002666,31-Oct-2002,HUD2002064
BCD2002666,12-Dec-2002,HUD2002075_LSEA
BCD2003666,17-Feb-2003,NED2003002
BCD2003666,4-Mar-2003,NED2003003
BCD2003666,6-Mar-2003,NED2003003
BCD2003666,20-Mar-2003,NED2003003
BCD2003666,12-Apr-2003,HUD2003005
BCD2003666,18-Apr-2003,HUD2003005
BCD2003666,16-May-2003,HUD2003010
BCD2003666,29-May-2003,HUD2003021
BCD2003666,26-Jun-2003,NED2003035 and NED2003036
BCD2003666,13-Jul-2003,HUD2003038 
BCD2003666,18-Jul-2003,NED2003036
BCD2003666,31-Jul-2003,NED2003042
BCD2003666,24-Oct-2003,HUD2003067
BCD2003666,31-Oct-2003,HUD2003067
BCD2003666,12-Nov-2003,HUD2003072
BCD2003666,22-Dec-2003,HUD2003078
BCD2003668,19-Apr-2003,IML-2003-04
BCD2004666,5-Feb-2004,TEM2004004
BCD2004666,17-Feb-2004,TEM2004004
BCD2004666,6-Apr-2004,HUD2004005
BCD2004666,18-Apr-2004,HUD2004009
BCD2004666,24-Apr-2004,HUD2004009
BCD2004666,8-May-2004,HUD2004009
BCD2004666,16-May-2004,HUD2004016
BCD2004666,10-Jun-2004,HUD2004019
BCD2004666,5-Jul-2004,TEL2004529
BCD2004666,18-Jul-2004,TEL2004530
BCD2004666,30-Jul-2004,TEL2004530
BCD2004666,19-Oct-2004,HUD2004055
BCD2004666,29-Oct-2004,HUD2004055
BCD2004666,15-Nov-2004,HUDSON NOTE: IML ICE FORCAST CRUISE
BCD2005666,19-Feb-2005,TEL2005545
BCD2005666,4-Mar-2005,TEL2005545
BCD2005666,16-Mar-2005,TEL2005546
BCD2005666,1-Apr-2005,NED2005004
BCD2005666,10-Apr-2005,NED2005004
BCD2005666,6-Jun-2005,HUD2005016
BCD2005666,17-Jun-2005,HUD2005021
BCD2005666,1-Jul-2005,TEL2005605
BCD2005666,13-Jul-2005,TEL2005633
BCD2005666,27-Jul-2005,TEL2005633
BCD2005666,17-Oct-2005,HUD2005055
BCD2005666,28-Oct-2005,HUD2005055
BCD2006666,18-Feb-2006,TEL2006614
BCD2006666,3-Mar-2006,TEL2006614
BCD2006666,15-Mar-2006,TEL2006615
BCD2006666,21-Apr-2006,HUD2006008
BCD2006666,6-May-2006,HUD2006008
BCD2006666,8-Jun-2006,HUD2006019
BCD2006666,6-Jul-2006,NED2006030
BCD2006666,20-Jul-2006,NED2006036
BCD2006666,1-Aug-2006,NED2006036
BCD2006666,5-Oct-2006,HUD2006052
BCD2006666,13-Oct-2006,HUD2006052
BCD2007666,20-Feb-2007,TEM2007685
BCD2007666,4-Mar-2007,TEM2007685
BCD2007666,18-Mar-2007,TEM2007686
BCD2007666,4-Apr-2007,HUD2007001
BCD2007666,7-Apr-2007,HUD2007001
BCD2007666,22-Apr-2007,HUD2007001
BCD2007666,27-May-2007,HUD2007011
BCD2007666,7-Jul-2007,TEL2007745
BCD2007666,19-Jul-2007,TEL2007745
BCD2007666,2-Aug-2007,TEL2007745
BCD2007666,2-Aug-2007,HUD2007033
BCD2007666,9-Aug-2007,HUD2007033
BCD2007666,28-Sep-2007,HUD2007045
BCD2007666,11-Oct-2007,HUD2007045
BCD2007666,18-Oct-2007,HUD2007045
BCD2008666,19-Mar-2008,TEL2008805
BCD2008666,22-Mar-2008,TEM2008775
BCD2008666,15-Apr-2008,HUD2008004
BCD2008666,19-Apr-2008,HUD2008004
BCD2008666,8-May-2008,HUD2008006
BCD2008666,4-Jun-2008,HUD2008009
BCD2008666,6-Jul-2008,TEM2008830
BCD2008666,18-Jul-2008,TEM2008830
BCD2008666,1-Aug-2008,TEM2008830
BCD2008666,28-Sep-2008,HUD2008037
BCD2008666,6-Oct-2008,HUD2008037
BCD2008666,9-Oct-2008,HUD2008037
BCD2008666,20-Oct-2008,HUD2008037
BCD2009666,11-Feb-2009,NED2009841
BCD2009666,21-Feb-2009,NED2009841
BCD2009666,27-Mar-2009,NED2009002
BCD2009666,10-Apr-2009,HUD2009005
BCD2009666,24-Apr-2009,HUD2009005
BCD2009666,29-Apr-2009,HUD2009005
BCD2009666,1-Jul-2009,NED2009027
BCD2009666,13-Jul-2009,NED2009027
BCD2009666,28-Jul-2009,NED2009027
BCD2009666,27-Sep-2009,HUD2009048
BCD2009666,5-Oct-2009,HUD2009048
BCD2009666,19-Oct-2009,HUD2009048
BCD2010666,23-Feb-2010,NED2010001
BCD2010666,9-Mar-2010,NED2010001
BCD2010666,21-Mar-2010,NED2010002
BCD2010666,25-Apr-2010,HUD2010006
BCD2010666,29-May-2010,HUD2010014
BCD2010666,2-Jul-2010,NED2010027
BCD2010666,19-Jul-2010,NED2010027
BCD2010666,1-Aug-2010,NED2010027
BCD2010666,7-Nov-2010,HUDSON NOTE:IML ICEFORCAST
BCD2010666,16-Dec-2010,HUD201049
BCD2011666,5-Feb-2011,NED2011002
BCD2011666,18-Feb-2011,NED2011002
BCD2011666,7-Mar-2011,NED2011002
BCD2011666,8-Apr-2011,HUD2011004
BCD2011666,23-Apr-2011,HUD2011004
BCD2011666,6-May-2011,HUD2011009
BCD2011666,28-May-2011,HUD2011009
BCD2011666,5-Jul-2011,NED2011025
BCD2011666,23-Jul-2011,NED2011025
BCD2011666,8-Aug-2011,NED2011025
BCD2011666,24-Sep-2011,HUD2011043
BCD2011666,30-Sep-2011,HUD2011043
BCD2011666,14-Oct-2011,HUD2011043
BCD2012666,11-Feb-2012,NED2012002
BCD2012666,19-Feb-2012,NED2012002
BCD2012666,5-Mar-2012,NED2012002
BCD2012666,18-Mar-2012,NED2012002
BCD2012666,1-Jun-2012,MLB2012001
BCD2012666,4-Jul-2012,NED2012022
BCD2012666,21-Jul-2012,NED2012022
BCD2012666,5-Aug-2012,NED2012022
BCD2012666,25-Sep-2012,HUD2012042
BCD2012666,2-Oct-2012,HUD2012042
BCD2012666,15-Oct-2012,HUD2012042
BCD2013666,25-Feb-2013,NED2013002
BCD2013666,19-Mar-2013,NED2013002
BCD2013666,5-Apr-2013,HUD2013004
BCD2013666,12-Apr-2013,HUD2013004
BCD2013666,26-Apr-2013,HUD2013004
BCD2013666,7-May-2013,HUD2013008
BCD2013666,28-May-2013,HUD2013008
BCD2013666,4-Jun-2013,HUD2013013
BCD2013666,16-Jun-2013,HUD2013013
BCD2013666,27-Jun-2013,NED2013022
BCD2013666,13-Jul-2013,NED2013022
BCD2013666,23-Jul-2013,NED2013022
BCD2013666,4-Aug-2013,NED2013022
BCD2013666,22-Sep-2013,HUD2013037
BCD2013666,9-Oct-2013,HUD2013037
