"sdate","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","int_depth","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","Salinity_Sal_PSS"
"13-Jan-1999",201201,1,0.507026086956522,0.23,3,4.7615,5.4685,0.6015,30.852
"13-Jan-1999",201202,5,0.542921739130435,0.26,4.5,4.681,5.435,0.627,30.805
"13-Jan-1999",201203,10,0.480104347826087,0.28,7.5,4.732,5.528,0.5595,30.857
"13-Jan-1999",201204,20,0.4128,0.28,10,4.68,5.4635,0.571,30.887
"13-Jan-1999",201205,30,0.372417391304348,0.27,10,4.9635,5.8545,0.631,30.896
"13-Jan-1999",201206,40,0.376904347826087,0.27,10,4.9945,5.8175,0.6025,30.891
"13-Jan-1999",201207,50,0.480104347826087,0.26,17.5,5.0075,5.6585,0.6615,30.85
"13-Jan-1999",201208,75,0.0891159420289855,0.15,25,7.532,7.983,0.778,32.098
"13-Jan-1999",201209,100,0.0754057971014493,0.12,32.5,8.713,9.3165,0.8775,32.359
"13-Jan-1999",201210,140,0.0520985507246377,0.09,20,12.577,12.928,1.025,33.275
"10-Feb-1999",201211,1,0.960208695652174,0.28,3,3.673,3.907,0.522,31.265
"10-Feb-1999",201212,5,0.946747826086957,0.27,4.5,4.496,5.099,0.5965,NA
"10-Feb-1999",201213,10,0.960208695652174,0.29,7.5,4.454,5.019,0.5515,31.265
"10-Feb-1999",201214,20,1.09930434782609,0.29,10,4.1025,4.5425,0.6175,NA
"10-Feb-1999",201215,30,1.4638384057971,0.4,10,3.428,3.2855,0.5415,NA
"10-Feb-1999",201216,40,0.913220289855073,0.26,10,4.632,5.1825,0.6705,NA
"10-Feb-1999",201217,50,1.54441666666667,0.66,17.5,3.2685,3.1415,0.586,31.569
"10-Feb-1999",201218,75,0.123391304347826,0.14,25,8.3225,8.5045,0.8605,NA
"10-Feb-1999",201219,100,0.0781478260869565,0.08,32.5,11.0085,10.7615,1.017,NA
"10-Feb-1999",201220,140,0.0178231884057971,0.04,20,14.889,13.597,1.2095,33.927
"16-Feb-1999",212383,1,1.06228695652174,0.29,3,4.611,5.486,0.689,31.25
"16-Feb-1999",212384,5,0.9288,0.34,4.5,4.576,5.382,0.703,NA
"16-Feb-1999",212385,10,1.09033043478261,0.2,7.5,4.708,5.5,0.693,31.236
"16-Feb-1999",212386,20,1.10827826086957,0.34,10,3.479,4.073,0.541,NA
"16-Feb-1999",212387,30,1.18181449275362,0.3,10,4.385,4.88,0.638,NA
"16-Feb-1999",212388,40,1.23553333333333,0.31,10,4.573,4.934,0.635,NA
"16-Feb-1999",212389,50,2.25619130434783,0.4,17.5,3.587,3.319,0.613,31.491
"16-Feb-1999",212390,75,0.529460869565217,0.33,25,3.85,3.625,0.52,NA
"16-Feb-1999",212391,100,0.119278260869565,0.16,32.5,9.817,9.947,0.973,NA
"16-Feb-1999",212392,140,0.0589536231884058,0.08,20,14.596,14,1.128,33.807
"31-Mar-1999",201221,1,0.601252173913044,0.27,3,0.0601,0.296,0.495,31.107
"31-Mar-1999",201222,5,0.641634782608696,0.25,4.5,0.01,0.196,0.467,NA
"31-Mar-1999",201223,10,0.614713043478261,0.25,7.5,-0.00309999999999999,0.159,0.46,31.256
"31-Mar-1999",201224,20,0.852521739130435,0.33,10,0.1758,0.317,0.458,NA
"31-Mar-1999",201225,30,2.3904884057971,0.59,10,0.0987,0.246,0.502,NA
"31-Mar-1999",201226,40,2.52478550724638,0.7,10,0.0608,0.186,0.479,NA
"31-Mar-1999",201227,50,3.05692608695652,0.88,17.5,0.2967,0.245,0.548,31.755
"31-Mar-1999",201228,75,1.18181449275362,0.87,25,3.05,2.048,0.659,NA
"31-Mar-1999",201229,100,0.81921231884058,0.61,32.5,10.721,8.613,1.004,NA
"31-Mar-1999",201230,140,0.287165217391304,0.45,20,14.839,14.414,1.225,33.872
"08-Apr-1999",210030,1,0.473185,1.92,3,0.178,0.333,0.2685,NA
"08-Apr-1999",210028,5,0.4005155,1.25,9.5,0.1755,0.3435,0.2635,NA
"08-Apr-1999",210026,20,0.504697,1.22,12.5,0.1675,0.3695,0.2665,NA
"08-Apr-1999",210025,30,0.37801775,1.01,10,0.2355,0.4,0.287,NA
"08-Apr-1999",210023,40,0.3722355,0.9,10,0.292,0.4805,0.277,NA
"08-Apr-1999",210022,50,0.371983,0.81,17.5,0.336,0.5025,0.274,NA
"08-Apr-1999",210021,75,0.63662825,0.34,25,4.741,5.226,0.503,NA
"08-Apr-1999",210020,100,0.5112115,0.31,32.5,6.2595,6.8335,0.5545,NA
"08-Apr-1999",210018,140,NA,NA,20,7.882,8.846,0.5565,NA
"18-Apr-1999",210554,1,1.6173475,1.33,NA,NA,NA,NA,NA
"18-Apr-1999",210553,5,1.5494575,1.27,7.5,0.224592925322852,0.427631578947368,0.3975,NA
"18-Apr-1999",210552,10,1.63432,1.35,7.5,0.182481751824818,0.328947368421053,0.405,NA
"18-Apr-1999",210551,20,2.495655,1.52,10,0.336889387984279,0.526315789473684,0.435,NA
"18-Apr-1999",210550,30,2.4859675,0.86,10,1.37563166760247,1.31578947368421,0.555,NA
"18-Apr-1999",210549,40,1.053228,0.56,10,0.561482313307131,0.526315789473684,0.435,NA
"18-Apr-1999",210548,50,1.039896,0.38,30,1.06681639528355,0.953947368421053,0.5475,NA
"18-Apr-1999",210547,75,0.413191,0.29,25,NA,NA,NA,NA
"18-Apr-1999",210546,100,0.4453595,0.23,25,8.45030881527232,8.61842105263158,0.945,NA
"18-Apr-1999",210545,125,NA,NA,20,10.8927568781583,11.9078947368421,1.08,NA
"18-Apr-1999",210544,140,NA,NA,7.5,13.9528354856822,15.1973684210526,1.185,NA
"05-May-1999",201231,1,1.1683847826087,0.29,3,0.19655,1.6745,0.5605,31.547
"05-May-1999",201232,5,1.22881847826087,0.23,4.5,0.21625,1.593,0.567,NA
"05-May-1999",201233,10,1.26910760869565,0.28,7.5,0.19045,1.5605,0.551,31.632
"05-May-1999",201234,20,0.51824347826087,0.32,10,1.9305,2.781,0.763,NA
"05-May-1999",201235,30,0.106939130434783,0.28,10,2.443,3.045,0.8255,NA
"05-May-1999",201236,40,0.152182608695652,0.39,10,2.7535,3.507,0.767,NA
"05-May-1999",201237,50,0.154239130434783,0.37,17.5,3.3715,4.167,0.841,31.703
"05-May-1999",201238,75,0.125447826086957,0.25,25,3.553,4.0515,0.846,NA
"05-May-1999",201239,100,0.0658086956521739,0.26,32.5,5.1155,5.5865,0.893,NA
"05-May-1999",201240,140,0.0473,0.22,20,8.3365,8.949,1.0305,32.471
"19-May-1999",201241,1,1.53098695652174,0.24,3,0.41155,1.2205,0.541,30.725
"19-May-1999",201242,5,0.564047826086957,0.11,4.5,0.15575,0.908,0.4605,NA
"19-May-1999",201243,10,0.370173913043478,0.09,7.5,0.13895,1.073,0.4995,NA
"19-May-1999",201244,20,1.55113152173913,0.35,10,0.04865,1.7495,0.5605,NA
"19-May-1999",201245,30,0.574120108695652,0.28,10,0.12335,1.239,0.543,NA
"19-May-1999",201246,40,0.212008695652174,0.13,10,1.4215,2.262,0.6735,NA
"19-May-1999",201247,50,0.114417391304348,0.18,17.5,2.9395,3.7745,0.839,31.892
"19-May-1999",201248,75,0.353347826086957,0.23,25,4.0685,4.477,0.8285,NA
"19-May-1999",201249,100,0.185086956521739,0.27,32.5,8.7875,8.5915,1.03,NA
"19-May-1999",201250,140,0.0246782608695652,0.18,20,16.1805,17.4685,1.3845,33.739
"10-Jun-1999",201251,1,0.6192,0.15,3,0.04705,0.801,0.3725,30.55
"10-Jun-1999",201252,5,1.02975652173913,0.15,4.5,0.04875,1.223,1.111,NA
"10-Jun-1999",201253,10,0.146013043478261,0.07,7.5,0.61395,2.1895,0.602,NA
"10-Jun-1999",201254,20,1.95402282608696,0.85,10,1.1625,2.612,0.656,31.006
"10-Jun-1999",201255,30,0.250895652173913,0.13,10,1.532,2.963,0.68,NA
"10-Jun-1999",201256,40,0.226217391304348,0.16,10,1.855,2.979,0.7845,NA
"10-Jun-1999",201257,50,0.152182608695652,0.13,17.5,2.39,3.6715,0.785,NA
"10-Jun-1999",201258,75,0.0678652173913044,0.09,25,3.9945,4.0875,0.813,32.139
"10-Jun-1999",201259,100,0.155473043478261,0.19,32.5,9.4325,8.298,0.9585,NA
"10-Jun-1999",201260,140,0.080204347826087,0.17,20,14.674,14.417,1.2385,33.657
"05-Jul-1999",209101,1,0.255008695652174,0.062,3,0.00370000000000002,0.264,0.2825,NA
"05-Jul-1999",209102,5,0.296139130434783,0.049,4.5,-0.0049,0.34,0.3,NA
"05-Jul-1999",209103,10,0.306421739130435,0.06,7.5,0.184,0.1185,0.29,NA
"05-Jul-1999",209104,20,0.599008695652174,0.152,10,-0.0731,0.2845,0.352,NA
"05-Jul-1999",209105,30,0.666313043478261,0.309,10,1.2095,1.4995,0.52,NA
"05-Jul-1999",209106,40,0.834573913043478,0.295,10,2.2785,2.1895,0.6235,NA
"05-Jul-1999",209107,50,0.471130434782609,0.195,17.5,3.8155,3.69,0.7555,NA
"05-Jul-1999",209108,75,0.0966565217391304,0.111,25,9.6195,8.4135,0.9795,NA
"05-Jul-1999",209109,100,0.032904347826087,0.107,32.5,13.5935,11.9535,1.084,NA
"05-Jul-1999",209110,140,0.0230891304347826,0.079,20,17.7535,19.018,1.3275,NA
"30-Jun-1999",212944,1,0.2,0.03,5.5,0,0.385,0.2535,NA
"30-Jun-1999",212943,10,0.28,0.05,9.5,0,0.26,0.3115,NA
"30-Jun-1999",212942,20,0.38,0.08,10,0,0.555,0.388,NA
"30-Jun-1999",212941,30,1.1,0.24,10,0.115,0.84,0.494,NA
"30-Jun-1999",212940,40,0.42,0.14,10,0,0.365,0.405,NA
"30-Jun-1999",212939,50,0.95,0.5,10,0,0.355,0.4405,NA
"30-Jun-1999",212938,60,0.59,0.3,15,1.61,1.2,0.6535,NA
"30-Jun-1999",212937,80,0.17,0.16,20,8.565,7.455,1.066,NA
"30-Jun-1999",212936,100,0.04,0.09,22.5,12.79,12.15,1.2695,NA
"30-Jun-1999",212935,125,NA,NA,25,14.88,15.58,1.3455,NA
"30-Jun-1999",212934,150,NA,NA,12.5,16.865,19.89,1.4465,NA
"17-Jul-1999",209308,1,0.336521739130435,0.05,3,0.1195,1.024,0.349,NA
"17-Jul-1999",209307,5,0.349982608695652,0.037,4.5,0.0995,0.894,0.334,NA
"17-Jul-1999",209306,10,0.430747826086957,0.072,7.5,0.246,0.8505,0.337,NA
"17-Jul-1999",209305,20,0.356713043478261,0.092,10,0.138,0.5575,0.3825,NA
"17-Jul-1999",209304,30,0.679773913043478,0.179,10,0.6475,0.7795,0.436,NA
"17-Jul-1999",209303,40,1.24896304347826,0.28,10,1.659,1.5615,0.5735,NA
"17-Jul-1999",209302,50,1.36983043478261,0.205,17.5,4.362,3.651,0.851,NA
"17-Jul-1999",209301,75,0.0719782608695652,0.146,25,9.5355,9.926,1.05,NA
"17-Jul-1999",209300,100,0.0596391304347826,0.111,32.5,10.104,11.044,1.054,NA
"17-Jul-1999",209299,140,0.0315956521739131,0.059,20,15.571,16.1155,1.2115,NA
"31-Jul-1999",209421,1,0.417286956521739,0.086,3,0.104,1.18,0.263,NA
"31-Jul-1999",209422,5,0.491321739130435,0.074,4.5,0.108,1.2495,0.2815,NA
"31-Jul-1999",209423,10,0.538434782608696,0.127,7.5,0.0885,1.2225,0.2965,NA
"31-Jul-1999",209424,20,0.946794565217391,0.304,10,0.093,1.276,0.4325,NA
"31-Jul-1999",209425,30,1.55113152173913,0.58,10,0.085,0.7845,0.446,NA
"31-Jul-1999",209426,40,1.95402282608696,0.455,10,0.101,0.822,0.4785,NA
"31-Jul-1999",209427,50,4.97210869565217,0.492,17.5,1.979,1.0035,0.7655,NA
"31-Jul-1999",209428,75,0.13984347826087,0.146,25,7.8445,7.838,0.972,NA
"31-Jul-1999",209429,100,0.0843173913043478,0.081,32.5,12.1085,12.8825,1.183,NA
"31-Jul-1999",209430,158,0.0863739130434783,0.084,20,16.435,18.397,1.376,NA
"13-Aug-1999",201261,1,0.51824347826087,0.09,3,0.10325,0.5125,0.2205,30.689
"13-Aug-1999",201262,5,0.585547826086957,0.1,4.5,0.01305,0.4215,0.2225,NA
"13-Aug-1999",201263,10,0.699965217391304,0.14,7.5,0.04785,0.8695,0.302,NA
"13-Aug-1999",201264,20,2.11517934782609,0.41,10,0.00214999999999999,1.5155,0.4825,NA
"13-Aug-1999",201265,30,0.699965217391304,0.23,10,1.7475,1.977,0.618,NA
"13-Aug-1999",201266,40,1.34968586956522,0.18,10,3.39,3.299,0.7255,32.188
"13-Aug-1999",201267,50,1.34968586956522,0.2,17.5,2.9795,3.3005,0.625,NA
"13-Aug-1999",201268,75,0.0781478260869565,0.1,25,9.951,9.754,1.0115,NA
"13-Aug-1999",201269,100,0.0571152173913043,0.07,32.5,12.6365,13.1375,1.1135,NA
"13-Aug-1999",201270,140,0.02795,0.06,20,17.299,20.0795,1.4245,34.144
"27-Aug-1999",201271,1,4.03293260869565,0.35,3,0.13015,1.146,0.1945,30.129
"27-Aug-1999",201272,5,4.69588043478261,0.76,4.5,-0.000150000000000039,1.12,0.1575,NA
"27-Aug-1999",201273,10,1.30939673913043,0.43,7.5,-0.02695,0.8965,0.171,NA
"27-Aug-1999",201274,20,0.886360869565217,0.29,10,0.01225,0.772,0.249,NA
"27-Aug-1999",201275,30,1.08780652173913,0.32,10,0.44795,2.213,0.598,NA
"27-Aug-1999",201276,40,1.32954130434783,0.5,10,1.928,3.6215,0.742,32.388
"27-Aug-1999",201277,50,0.222104347826087,0.15,17.5,4.709,6.5135,0.8805,NA
"27-Aug-1999",201278,75,0.197426086956522,0.13,25,8.1445,9.4075,1.045,NA
"27-Aug-1999",201279,100,0.129560869565217,0.11,32.5,14.6725,17.7095,1.3915,NA
"27-Aug-1999",201280,140,0.0236967391304348,0.05,20,18.0935,20.3395,1.497,34.305
"10-Sep-1999",201281,1,1.07686956521739,0.31,3,0.10515,0.896,0.165,30.62
"10-Sep-1999",201282,5,1.13071304347826,0.35,4.5,0.01235,0.9715,0.166,NA
"10-Sep-1999",201283,10,1.22881847826087,0.46,7.5,-0.00494999999999998,0.7005,0.1375,NA
"10-Sep-1999",201284,20,0.491321739130435,0.51,10,-0.00324999999999998,0.842,0.251,NA
"10-Sep-1999",201285,30,0.349982608695652,0.28,10,0.93145,1.6905,0.6025,NA
"10-Sep-1999",201286,40,0.316330434782609,0.26,10,1.333,1.95,0.63,32.184
"10-Sep-1999",201287,50,0.282678260869565,0.24,17.5,3.728,3.9415,0.7275,NA
"10-Sep-1999",201288,75,0.0407097826086957,0.07,25,11.1825,11.5745,1.1105,NA
"10-Sep-1999",201289,100,0.0230891304347826,0.06,32.5,13.6215,15.213,1.2075,NA
"10-Sep-1999",201290,140,0.0437478260869565,0.05,20,15.911,16.7305,1.263,33.82
"23-Oct-1999",225236,1,1.73858358778626,0.53,3,0.588,1.615,0.336,NA
"23-Oct-1999",225235,5,1.76618015267176,0.54,4.5,0.432,1.235,0.2925,NA
"23-Oct-1999",225234,10,1.91796125954199,0.68,7.5,0.3515,1.3495,0.282,NA
"23-Oct-1999",225233,20,1.55920591603053,0.62,10,0.3215,1.43,0.3335,NA
"23-Oct-1999",225232,30,0.993476335877863,0.45,10,0.3425,1.53,0.325,NA
"23-Oct-1999",225231,40,0.413199045801527,0.36,10,0.825,1.861,0.4555,NA
"23-Oct-1999",225230,50,0.119026717557252,0.18,10,4.0175,4.63,0.688,NA
"23-Oct-1999",225229,60,0.064274427480916,0.15,10,6.475,7.096,0.89,NA
"23-Oct-1999",225228,70,0.0404690839694657,0.09,10,7.702,8.532,0.9605,NA
"23-Oct-1999",225227,80,0.0345177480916031,0.08,15,7.55,8.76,0.9435,NA
"23-Oct-1999",225226,100,0.0357080152671756,0.11,30,8.828,9.5115,1.013,NA
"23-Oct-1999",225225,140,0.0223064885496183,0.09,20,11.6945,13.3255,1.1455,NA
"05-Nov-1999",225882,1,2.12493549618321,0.74,3,1.3625,3.3085,0.493,NA
"05-Nov-1999",225881,5,2.13873377862595,0.76,4.5,1.3855,3.613,0.4995,NA
"05-Nov-1999",225880,10,2.12493549618321,0.68,7.5,1.331,3.4415,0.489,NA
"05-Nov-1999",225879,20,2.1801286259542,0.69,10,1.373,3.4335,0.496,NA
"05-Nov-1999",225878,30,2.1525320610687,0.7,10,1.367,3.6795,0.506,NA
"05-Nov-1999",225877,40,0.204329198473282,0.22,10,5.8705,6.8585,0.85,NA
"05-Nov-1999",225876,50,0.0630841603053435,0.11,10,6.7515,8.6935,1.1305,NA
"05-Nov-1999",225875,60,0.0868895038167939,0.09,10,8.3765,9.5145,1.007,NA
"05-Nov-1999",225874,70,0.0856992366412214,0.09,7.5,8.808,10.291,1.04,NA
"05-Nov-1999",225873,75,0.0452301526717557,0.09,5,6.1545,7.0565,0.858,NA
"05-Nov-1999",225872,80,0.0559425572519084,0.08,12.5,9.4545,9.6295,1.029,NA
"05-Nov-1999",225871,100,0.0261858778625954,0.05,30,13.5885,14.576,1.436,NA
"05-Nov-1999",225870,140,0.0190442748091603,0.05,20,17.8225,19.22,1.3975,NA
"12-Nov-1999",225905,1,2.59654565217391,0.45,3,0.526,2.769,0.427,NA
"12-Nov-1999",225904,5,2.37556304347826,0.54,4.5,0.5231,2.774,0.422,NA
"12-Nov-1999",225903,10,2.43080869565217,0.55,7.5,0.5392,2.811,0.429,NA
"12-Nov-1999",225902,20,3.59096739130435,0.85,10,0.3643,2.657,0.43,NA
"12-Nov-1999",225901,30,3.64621304347826,0.73,10,0.3614,2.694,0.426,NA
"12-Nov-1999",225900,40,1.95402282608696,0.64,10,3.746,4.663,0.672,NA
"12-Nov-1999",225899,50,0.119278260869565,0.14,10,7.804,8.141,0.952,NA
"12-Nov-1999",225898,60,0.0473,0.12,10,9.729,10.818,1.09,NA
"12-Nov-1999",225897,70,0.032904347826087,0.11,7.5,10.839,12.351,1.132,NA
"12-Nov-1999",225896,75,0.0431869565217391,0.09,5,11.068,12.58,1.151,NA
"12-Nov-1999",225895,80,0.0411304347826087,0.11,12.5,11.082,12.713,1.13,NA
"12-Nov-1999",225894,100,0.0411304347826087,0.11,30,11.018,12.942,1.116,NA
"12-Nov-1999",225893,140,0.0346336956521739,0.06,20,14.001,15.749,1.209,NA
"24-Nov-1999",201291,1,1.85661,0.554,3,0.0921915,3.7245,0.2565,NA
"24-Nov-1999",201292,5,1.837665,0.595,4.5,0.0298375,3.699,0.2165,NA
"24-Nov-1999",201293,10,2.102895,0.658,7.5,0.1394835,3.7305,0.2545,NA
"24-Nov-1999",201294,20,1.62927,0.635,10,0.0341295,3.672,0.2265,NA
"24-Nov-1999",201295,30,0.8316,0.482,10,0.0177755,3.8075,0.1555,NA
"24-Nov-1999",201296,40,0.6804,0.446,10,0.0834215,3.3155,0.2725,NA
"24-Nov-1999",201297,50,0.5166,0.37,17.5,0.0220675,2.6595,0.244,NA
"24-Nov-1999",201298,75,0.11583,0.13,25,0.0242135,11.2275,0.4065,NA
"24-Nov-1999",201299,100,0.04752,0.119,32.5,2.3783595,12.769,0.583,NA
"24-Nov-1999",201300,140,0.03096,0.073,20,12.7880055,16.1965,1.0605,NA
"10-Dec-1999",213301,1,1.28826,0.464,3,0.3546515,2.8025,0.2455,NA
"10-Dec-1999",213302,5,1.269315,0.459,4.5,0.2027975,2.9235,0.312,NA
"10-Dec-1999",213303,10,1.40193,0.401,7.5,0.0234435,2.7455,0.2005,NA
"10-Dec-1999",213304,20,0.378,0.3,10,0.0345895,1.9695,0.258,NA
"10-Dec-1999",213305,30,0.3024,0.222,10,0.0277355,2.3895,0.22,NA
"10-Dec-1999",213306,40,0.3276,0.273,10,1.3588815,2.4805,0.4155,NA
"10-Dec-1999",213307,50,0.3213,0.249,17.5,0.0320275,3.3645,0.177,NA
"10-Dec-1999",213308,75,0.06552,0.099,25,0.309,11.7055,0.439,NA
"10-Dec-1999",213309,100,0.05904,0.093,32.5,6.682,11.898,0.7255,NA
"10-Dec-1999",213310,140,0.04248,0.094,20,7.4065,13.3405,0.789,NA
"23-Dec-1999",213311,1,1.36404,0.505,3,2.7335,3.974,0.5945,NA
"23-Dec-1999",213312,5,1.43982,0.523,4.5,2.6685,3.869,0.5895,NA
"23-Dec-1999",213313,10,1.345095,0.477,7.5,2.676,3.9425,0.599,NA
"23-Dec-1999",213314,20,1.25037,0.477,10,2.629,3.585,0.577,NA
"23-Dec-1999",213315,30,0.890415,0.392,10,2.4455,3.2715,0.5655,NA
"23-Dec-1999",213316,40,1.345095,0.477,10,2.522,3.447,0.5475,NA
"23-Dec-1999",213317,50,0.5229,0.312,17.5,2.1565,2.8955,0.504,NA
"23-Dec-1999",213318,75,0.3213,0.234,25,2.9095,3.3855,0.509,NA
"23-Dec-1999",213319,100,0.04563,0.098,32.5,10.285,12.937,1.0885,NA
"23-Dec-1999",213320,140,0.036855,0.082,20,12.6505,14.557,1.117,NA
